	Отрасль промышленности	Код ОКВЭД 2	Наименование кода ОКВЭД 2	Код ОКПД 2	Наименование продукции по коду ОКПД2
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.1	Камеры и печные горелки, и их части
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.11.111	Горелки газовые
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.12	Печи и камеры промышленные или лабораторные неэлектрические, включая мусоросжигательные печи, кроме хлебопекарных печей
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.12.000	Печи и камеры промышленные или лабораторные неэлектрические, включая мусоросжигательные печи, кроме хлебопекарных печей
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13	"Печи и камеры промышленные или лабораторные электрические; индукционное или диэлектрическое нагревательное оборудование"
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13.110	Печи и камеры промышленные или лабораторные электрические
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13.111	Электропечи сопротивления
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13.112	Электропечи дуговые прямого нагрева
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13.113	Электропечи дуговые рудно-термические
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13.117	Электропечи индукционные плавильные
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13.119	Электропечи и камеры промышленные или лабораторные прочие, не включенные в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13.120	Оборудование индукционное или диэлектрическое нагревательное
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13.128	Оборудование электротермической обработки поверхности
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.21	Производство печей, термокамер и печных горелок	28.21.13.129	Оборудование индукционное или диэлектрическое нагревательное прочее, не включенное в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22	Оборудование подъемно-транспортное
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.1	Оборудование подъемно-транспортное и его части
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.12.190	Лебедки прочие
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.14	"Деррик-краны; подъемные краны; подвижные подъемные фермы, портальные краны, самоходные или несамоходные машины, оснащенные подъемным краном"
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.14.120	Краны грузоподъемные
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.14.152	Краны на железнодорожном ходу
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.18	Оборудование грузоподъемное, транспортирующее и погрузочноразгрузочное прочее
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.18.140	Вагоноопрокидыватели и аналогичное оборудование для манипулирования железнодорожными вагонами
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.18.180	Оборудование погрузочно-разгрузочное для прокатных станов, не включенное в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.18.261	Склады-накопители механизированные
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.18.269	Машины подъемные для механизации складов прочие, не включенные в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.18.270	Оборудование для загрузки доменных печей
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.18.310	Машины погрузочные и разгрузочные
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.22	Производство подъемнотранспортного оборудования	28.22.18.390	Оборудование подъемно-транспортное и погрузочно-разгрузочное прочее, не включенное в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	28.24	Производство ручных инструментов с механизированным приводом	28.24.1	"Инструменты ручные электрические; инструменты ручные прочие с механизированным приводом"
Департамент станкостроения и инвестиционного машиностроения	Станкоинструментальная промышленность	28.24	Производство ручных инструментов с механизированным приводом	28.24.2	Части ручных инструментов с механизированным приводом
Департамент станкостроения и инвестиционного машиностроения	Нефтегазовое машиностроения	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.11	Теплообменники и машины для сжижения воздуха или прочих газов
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.12.190	Оборудование для кондиционирования воздуха прочее, не включенное в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.13	Оборудование холодильное и морозильное и тепловые насосы, кроме бытового оборудования
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.13.110	Оборудование холодильное и морозильное, кроме бытового оборудования
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.13.111	Шкафы холодильные
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.13.112	Камеры холодильные сборные
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.13.115	Оборудование для охлаждения и заморозки жидкостей
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.13.119	Оборудование холодильное прочее
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14	Оборудование и установки для фильтрования или очистки газов, не включенные в другие группировки
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14.110	Оборудование и установки для фильтрования или очистки воздуха
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14.111	Фильтры для очистки воздуха
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14.113	Озонаторы
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14.119	Оборудование и установки для фильтрования или очистки воздуха прочие
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14.120	Оборудование газоочистное и пылеулавливающее
Департамент станкостроения и инвестиционного машиностроения	Тяжелое машиностроение	28.25	Производство промышленного холодильного и вентиляционного оборудования	28.25.14.124	Аппараты пылеулавливающие мокрые
