	Отрасль промышленности	Код ОКВЭД 2	Наименование кода ОКВЭД 2	Код ОКПД 2	Наименование продукции по коду ОКПД2
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.81.110	Пряжа из химических комплексных нитей, однониточная или крученая (кроме швейных ниток, высокопрочной пряжи из полиамидных, полиэфирных или вискозных волокон), не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.81.120	Пряжа из химических комплексных нитей (кроме швейных ниток), расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82	Пряжа (кроме швейных ниток) с массовой долей синтетических штапельных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.110	Пряжа из синтетических штапельных волокон с массовой долей полиамидных или
					армидных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.111	Пряжа однониточная из синтетических штапельных волокон с массовой долей полиамидных или армидных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.112	Пряжа крученая из синтетических штапельных волокон с массовой долей полиамидных или армидных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.119	Пряжа прочая из синтетических штапельных волокон с массовой долей полиамидных или армидных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.120	Пряжа из синтетических штапельных волокон с массовой долей полиэфирных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.121	Пряжа однониточная из синтетических штапельных волокон с массовой долей полиэфирных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.122	Пряжа крученая из синтетических штапельных волокон с массовой долей полиэфирных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.129	Пряжа прочая из синтетических штапельных волокон с массовой долей полиэфирных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.130	Пряжа из синтетических штапельных волокон с массовой долей полиакрилонитрильных волокон или модифицированных полиакрилонитрильных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.131	Пряжа однониточная из синтетических штапельных волокон с массовой долей полиакрилонитрильных волокон или модифицированных полиакрилонитрильных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.132	Пряжа крученая из синтетических штапельных волокон с массовой долей полиакрилонитрильных волокон или
					модифицированных полиакрилонитрильных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.139	Пряжа прочая из синтетических штапельных волокон с массовой долей полиакрилонитрильных волокон или модифицированных полиакрилонитрильных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.140	Пряжа с массовой долей не менее 85 % других синтетических штапельных волокон
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.141	Пряжа однониточная с массовой долей других синтетических штапельных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.82.142	Пряжа крученая с массовой долей других синтетических штапельных волокон не менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.83	Пряжа (кроме швейных ниток) с массовой долей синтетических штапельных волокон менее 85 %
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.83.110	Пряжа из полиэфирных волокон, смешанных в основном или исключительно с искусственными волокнами
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.83.120	Пряжа из полиэфирных волокон, смешанных в основном или исключительно с хлопком
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.83.130	Пряжа из полиакрилонитрильных волокон или модифицированных полиакрилонитрильных волокон, смешанных в основном или исключительно с хлопком
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.83.190	Пряжа прочая смешанная из синтетических штапельных волокон
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84	Пряжа (кроме швейных ниток) из искусственных штапельных волокон, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.110	Пряжа с массовой долей вискозных или высокомодульных вискозных волокон не менее 85 %, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.111	Пряжа однониточная с массовой долей вискозных или высокомодульных вискозных волокон не менее 85 %, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.112	Пряжа крученая с массовой долей вискозных или высокомодульных вискозных волокон не менее 85 %, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.120	Пряжа с массовой долей искусственных штапельных волокон не менее 85 %, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.121	Пряжа однониточная с массовой долей искусственных штапельных волокон не менее 85 %, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.122	Пряжа крученая с массовой долей искусственных штапельных волокон не менее 85 %, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.190	Пряжа прочая из искусственных штапельных волокон, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.191	Пряжа из искусственных штапельных волокон, смешанная в основном или исключительно с шерстью или тонким волосом животных, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.192	Пряжа из искусственных штапельных волокон, смешанная в основном или исключительно с хлопком, не расфасованная для розничной продажи
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.84.199	Пряжа прочая из искусственных штапельных волокон, не расфасованная для розничной продажи, не включенная в другие группировки
	Легкая промышленность	13.10	Подготовка и прядение текстильных	13.10.85	Нитки швейные и пряжа из искусственных и
			волокон		синтетических комплексных нитей и волокон
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.85.110	Нитки швейные синтетические
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.85.111	Нитки швейные синтетические армированные с хлопковой оплеткой
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.85.112	Нитки швейные синтетические армированные с полиэфирной оплеткой
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.85.113	Нитки швейные синтетические из комплексных полиэфирных нитей
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.85.114	Нитки швейные синтетические из комплексных полиамидных нитей
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.85.115	Нитки швейные синтетические из полиэфирных текстурированных нитей
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.85.119	Нитки швейные синтетические прочие
	Легкая промышленность	13.10	Подготовка и прядение текстильных волокон	13.10.85.120	Пряжа из искусственных и синтетических нитей и волокон
	Легкая промышленность	13.20	Производство текстильных тканей	13.2	Ткани текстильные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20	Ткани текстильные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.1	Ткани (без специальных тканей) из натуральных волокон (кроме хлопка)
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11	Ткани из шелка или шелковых отходов
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.110	Ткани суровые из шелковых нитей или пряжи
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.120	Ткани готовые из шелковых нитей или пряжи с массовой долей шелка не менее 85 % (кроме пряжи из шелкового гребенного очеса)
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.121	Ткани креповые из шелковых нитей или пряжи с массовой долей шелка не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.122	Ткани плотного переплетения из шелковых нитей или пряжи с массовой долей шелка не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.123	Ткани прозрачные из шелковых нитей или пряжи с массовой долей шелка не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.124	Хабутай, чесуча, шелк индийский и другие аналогичные дальневосточные ткани из шелковых нитей или пряжи с массовой долей шелка не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.129	Ткани готовые с массовой долей шелка не менее 85 % прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.130	Ткани готовые из шелковых нитей или пряжи с массовой долей шелка менее 85 % (кроме пряжи из шелкового гребенного очеса)
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.131	Ткани креповые из шелковых нитей или пряжи с массовой долей шелка менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.132	Ткани плотного переплетения из шелковых нитей или пряжи с массовой долей шелка менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.133	Ткани прозрачные из шелковых нитей или пряжи с массовой долей шелка менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.139	Ткани готовые с массовой долей шелка менее 85 % прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.11.140	Ткани из шелкового гребенного очеса
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12	Ткани из шерсти или тонкого или грубого волоса животных, или конского волоса, подвергнутого кардо- и гребнечесанию
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.110	Ткани костюмные из шерсти
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.111	Ткани костюмные камвольные чистошерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.112	Ткани костюмные камвольные шерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.113	Ткани костюмные камвольные полушерстяные с полиэфирным волокном
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.114	Ткани костюмные камвольные полушерстяные прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.115	Ткани костюмные тонкосуконные чистошерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.116	Ткани костюмные тонкосуконные шерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.117	Ткани костюмные тонкосуконные полушерстяные с полиэфирным волокном
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.119	Ткани костюмные тонкосуконные полушерстяные прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.120	Ткани плательные из шерсти
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.121	Ткани плательные камвольные чистошерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.122	Ткани плательные камвольные шерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.123	Ткани плательные камвольные полушерстяные с полиэфирным волокном
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.124	Ткани плательные камвольные полушерстяные прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.125	Ткани плательные тонкосуконные чистошерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.126	Ткани плательные тонкосуконные шерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.127	Ткани плательные тонкосуконные полушерстяные с полиэфирным волокном
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.129	Ткани плательные тонкосуконные полушерстяные прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.130	Ткани пальтовые из шерсти
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.131	Ткани пальтовые камвольные и камвольносуконные чистошерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.132	Ткани пальтовые камвольные и камвольносуконные шерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.133	Ткани пальтовые камвольные и камвольносуконные полушерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.134	Ткани пальтовые камвольные и камвольносуконные тонкосуконные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.140	Ткани суконные чистошерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.150	Ткани суконные шерстяные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.190	Ткани из шерсти прочие, не включенные в другие группировки
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.210	Ткани из тонкого волоса животных, подвергнутого кардо- и гребнечесанию
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.220	Ткани из грубого волоса животных или конского волоса
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.221	Ткани из грубого волоса обыкновенных коз, собак, обезьян, выдры или других аналогичных животных, волоса с боков быков
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.222	Ткани из конского волоса
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.12.229	Ткани из грубого волоса животных прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13	Ткани льняные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.110	Ткани льняные и полульняные грубые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.111	Ткани льняные грубые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.112	Ткани полульняные грубые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.120	Ткани чистольняные, льняные и полульняные бельевые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.121	Ткани чистольняные бельевые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.122	Ткани льняные бельевые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.123	Ткани полульняные бельевые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.130	Ткани чистольняные, льняные и полульняные одежные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.131	Ткани чистольняные одежные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.132	Ткани льняные одежные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.133	Ткани полульняные одежные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.140	Ткани чистольняные, льняные и полульняные полотенечные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.141	Ткани чистольняные полотенечные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.142	Ткани льняные полотенечные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.143	Ткани полульняные полотенечные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.13.190	Ткани льняные прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.14	Ткани из джутовых и прочих лубяных текстильных волокон (кроме льна, пеньки и рами)
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.14.110	Ткани из джутовых волокон
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.14.120	Ткани из волокон лубяных текстильных прочих (кроме льна, конопли обыкновенной и рами)
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.19	"Ткани из прочих растительных текстильных волокон; ткани из бумажной пряжи"
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.19.110	Ткани из прочих растительных текстильных волокон
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.19.120	Ткани из бумажной пряжи
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.2	Ткани хлопчатобумажные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20	Ткани хлопчатобумажные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.110	Ткани хлопчатобумажные бытовые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.111	Ткани хлопчатобумажные плательные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.112	Ткани хлопчатобумажные сорочечные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.113	Ткани хлопчатобумажные бельевые нательные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.114	Ткани хлопчатобумажные бельевые постельные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.115	Ткани хлопчатобумажные одежные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.119	Ткани хлопчатобумажные бытовые прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.120	Ткани хлопчатобумажные смешанные бытовые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.121	Ткани хлопчатобумажные смешанные плательные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.122	Ткани хлопчатобумажные смешанные сорочечные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.123	Ткани хлопчатобумажные смешанные бельевые нательные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.124	Ткани хлопчатобумажные смешанные бельевые постельные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.125	Ткани хлопчатобумажные смешанные одежные
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.129	Ткани хлопчатобумажные смешанные бытовые прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.130	Ткани хлопчатобумажные палаточные и плащевые
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.20.190	Ткани хлопчатобумажные прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.3	Ткани (кроме специальных тканей) из химических комплексных нитей и штапельных волокон
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31	Ткани из синтетических и искусственных комплексных нитей
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.110	Ткани суровые из синтетических комплексных нитей
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.120	Ткани готовые с массовой долей синтетических комплексных нитей, включая ткани из мононитей, ленточных и аналогичных нитей, не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.121	Ткани готовые с массовой долей полиамидных и армидных нитей не менее
					85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.122	Ткани готовые с массовой долей полиэфирных, в том числе текстурированных нитей, не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.123	Ткани готовые с массовой долей полиэтиленовых и полипропиленовых плоских (пленочных) нитей не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.129	Ткани готовые с массовой долей прочих синтетических нитей не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.130	Ткани готовые с массовой долей синтетических нитей менее 85 %, смешанных в основном или исключительно с хлопком
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.131	Ткани готовые с массовой долей полиамидных нитей менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.132	Ткани готовые с массовой долей полиэфирных нитей менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.139	Ткани готовые с массовой долей прочих синтетических нитей менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.140	Ткани готовые с массовой долей синтетических нитей менее 85 %, смешанных с другими видами натуральных и химических волокон и нитей
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.150	Ткани суровые из искусственных (целлюлозных) нитей
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.160	Ткани готовые с массовой долей искусственных (целлюлозных) нитей не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.161	Ткани с массовой долей вискозных нитей не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.162	Ткани с массовой долей высокомодульных вискозных нитей не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.163	Ткани с массовой долей ацетатных, диацетатных, триацетатных нитей не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.169	Ткани с массовой долей прочих искусственных (целлюлозных) нитей не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.170	Ткани готовые с массовой долей искусственных (целлюлозных) нитей менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.171	Ткани с массовой долей вискозных нитей менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.172	Ткани с массовой долей прочих искусственных (целлюлозных) нитей менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.180	Ткани готовые с массовой долей искусственных (целлюлозных) нитей менее 85 %, смешанных с другими видами натуральных и химических волокон и нитей
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.31.190	Ткани из синтетических и искусственных комплексных нитей прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32	Ткани из синтетических штапельных волокон
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32.110	Ткани суровые из синтетических штапельных волокон
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32.120	Ткани готовые с массовой долей синтетических штапельных волокон не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32.121	Ткани готовые с массовой долей полиэфирных волокон не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32.122	Ткани готовые с массовой долей полиакрилонитрильных и модифицированных полиакрилонитрильных волокон не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32.123	Ткани готовые с массовой долей полиамидных волокон не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32.129	Ткани готовые с массовой долей прочих синтетических штапельных волокон не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32.130	Ткани готовые с массовой долей синтетических штапельных волокон менее 85 % с добавлением в основном или исключительно хлопка
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32.140	Ткани готовые с массовой долей
					синтетических штапельных волокон менее 85 % с добавлением в основном или исключительно шерсти
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.32.190	Ткани готовые из синтетических штапельных волокон прочие
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.33	Ткани из искусственных штапельных волокон
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.33.110	Ткани суровые из искусственных (целлюлозных) штапельных волокон
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.33.120	Ткани готовые с массовой долей искусственных (целлюлозных) волокон не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.33.121	Ткани готовые с массовой долей вискозных волокон не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.33.129	Ткани готовые с массовой долей прочих искусственных (целлюлозных) волокон не менее 85 %
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.33.130	Ткани готовые с массовой долей искусственных (целлюлозных) волокон менее 85 % с добавлением в основном или исключительно химических нитей
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.33.140	Ткани готовые с массовой долей искусственных (целлюлозных) волокон менее 85 % с добавлением в основном или исключительно шерсти или тонкого волоса животных
	Легкая промышленность	13.20	Производство текстильных тканей	13.20.33.150	Ткани готовые с массовой долей искусственных (целлюлозных) волокон менее 85 % с добавлением в основном или исключительно хлопка
