ОГРН предприятия;Код ОКПД2 продукции, включенной в реестр по ПП 719
1035010202809;14.12.11.120
1164027066499;16.10.10.124
1164027066499;16.10.10.110
1164027066499;16.10.10.110
1164027066499;16.21.13.000
1124715000630;23.13.11.111
1124715000630;23.13.11.111
1124715000630;23.13.11.111
1124715000630;23.13.11.111
1124715000630;23.13.11.111
1124715000630;23.13.11.111
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1056167054371;20.12.11.110
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.12.13
1035003950321;23.12.13
1035003950321;23.12.13
1035003950321;23.12.13
1035003950321;23.12.13
1035003950321;23.12.13
1035003950321;23.12.13
1035003950321;23.12.13
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
1035003950321;23.11.12
