ОГРН предприятия;Код ОКПД2 продукции, включенной в реестр РЭП по ПП 878
1107847302727;26.51.43.120
1107847342613;26.30.11.110
1111690037030;26.20.30
1113702014447;26.51.62
1114027007511;27.90.4
1114028003616;26.30.30.000
1116455001629;27.20.21
1116673002929;32.30.14.117
1116673002929;32.50.22.129
1117746057714;26.40.33.190
1117746097083;26.20.11
1117746097083;26.20.13.000
1117746097083;26.20.15.000
1117746097083;26.20.30.000
1117746147859;26.20.40.110
1117847035547;26.20.14.000
1117847613267;26.30.4
1121001019336;27.40.25.123
1121001019336;27.40.33.130
1121001019336;27.40.39.113
1122651017884;26.30.50.110
1122651017884;26.30.50.111
1123668048789;26.11.3
1124632011217;27.20.23.110
1124715000882;27.40.25.123
1126164020290;27.40.39.113
1126324015058;27.40.39.113
1126450013250;27.11.50.120
1127448007940;27.40.39
1127746006926;26.11.3
1127746394280;27.90.40.190
1127746513510;26.20.40.110
1127746685990;26.51.20.121
1127747226166;26.30.11.150
1127847131642;26.30.50.112
1127847131642;26.30.50.119
1133702015963;26.51.43
1135902004391;27.40.25.123
1135902004391;27.40.33.130
1135902004391;27.40.39.113
1135904006237;26.51.66
1141831004072;26.60.13.180
1144703000254;28.99.39.190
1146311005301;26.70.21.120
1146670033344;26.60.14.110
1147746450994;26.20.15
1147847337362;28.99.39.190
1152312014777;26.51.12
1153668032913;26.30.11.120
1155003003121;27.51.24.190
1155050000710;26.30.11.190
1155050001655;27.40.39.113
1155476103287;26.20.13
1155476103287;26.20.30
1155835002443;26.51.70.190
1157746065157;26.11.30
1157746220598;26.20.15
1157746220598;26.20.2
1157746220598;26.30.11
1157746220598;26.30.11.230
1157746220598;26.51.63
1157746250221;26.51.66.190
1157746522493;26.20.2
1157746744869;26.30.11
1157746817546;26.20.13.000
1157746817546;26.20.21
1157746817546;26.20.21.000
1157746817546;26.20.40.110
1157746861711;26.30.11.120
1157746958830;26.20.14
1157746958830;26.20.15
1157746958830;26.20.30
1157847046697;26.30.11
1157847046994;26.30.50
1157847046994;26.30.50.120
1157847181568;27.40.25.123
1161690055075;26.20.11
1161690055075;26.20.11.110
1161690055075;26.20.15.000
1162225104580;27.40.25.123
1163123093286;25.11.23.119
1163123093286;26.30.11
1163123093286;26.30.30
1163123093286;27.33.13
1166234050564;26.30.50.111
1166234050564;26.30.50.121
1167325065907;27.40.39
1167456127618;26.30.50.114
1167746899011;25.11.23.119
1167746899011;26.30.11
1167746899011;26.30.30
1167746899011;27.33.13
1167847385078;26.51.20.110
1170280013045;27.11.50.120
1172801013340;27.40.24.123
1172801013340;27.40.32
1173123012556;28.99.39.190
1175476095453;27.40.39.113
1175543025448;26.30.50.111
1175543025448;26.40.33.190
1175835012726;26.30.11.150
1175835012726;26.30.11.190
1177746679010;26.51.51.110
1177847164956;26.30.11.190
1177847254232;27.40.39.113
1177847371151;27.40.15.110
1177847416823;26.11.22.210
1185835003221;26.30.50.131
1187746214006;26.30.11.150
1187746214006;26.30.11.190
1187746887129;26.51.20.121
1192375054090;26.40.33.110
1195081045246;26.51.12.120
1197746082269;26.30.11.120
1197746082269;26.30.11.190
1197746610093;26.20.14
1197746614834;26.20.15.000
1197746691273;26.51.64.190
5087746212241;26.20.30
5087746212241;26.20.40.140
5087746335177;27.40.25.123
5087746335177;27.40.33.130
5087746335177;27.40.39.113
5087746389187;26.20.16
5087746597835;27.40.39
5107746005494;26.30.11.130
5107746049373;26.30.11.120
5137746105712;26.30
5147746249668;26.20.15
5147746249668;26.20.2
5147746251307;26.30.30.000
5167746320044;26.30.11.150
5177746148421;26.20.15
5177746148421;26.20.2
304434518200465;26.70.23.120
"
1025403911818";26.30.11
1022300631154;26.11.22.200
1024000946639;26.51.51
1026602952771;26.60.12.129
1026602952771;32.50.21.121
1027700107599;26.51.70.190
1027739708270;26.60.11.113
1030203893631 ;26.30.11
1037739691483;26.40.31.190
1037841000075;26.51.70.190
1075836001207;27.11.50.120
1085024003679;26.20.30
1087017011113;26.30.11
1095543005140;26.20.15
1115042001030;27.90.70
1141674003393;27.20.21.000
1147746655946;26.30.11.150
1157746958830;26.20.15.000
1157746958830;26.20.30
1157847213358;26.30.11.120
1162225104580;27.40.25.123
1175476095453;27.40.39.113
1177746909988;27.40.25.123
1187746473331;28.99.39.190
5087746597648;26.51.20.121
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
